STT,Mã,Tên công ty,Sàn,Ngành ICB - cấp 1,Ngành ICB - cấp 2,Ngành ICB - cấp 3,Ngành ICB - cấp 4
1329,PTT,Vận tải Dầu khí Đông Dương,UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,Dịch vụ vận tải
1330,PTV,Thương mại dầu khí,UPCoM,Dầu khí,Dầu khí,"Thiết bị, Dịch vụ và Phân phối Dầu khí",Thiết bị và Dịch vụ Dầu khí
1331,PVA,Xây dựng dầu khí Nghệ An,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
1332,PVE,Tư vấn Dầu khí,UPCoM,Dầu khí,Dầu khí,"Thiết bị, Dịch vụ và Phân phối Dầu khí",Thiết bị và Dịch vụ Dầu khí
1333,PVH,Xây lắp Dầu khí Thanh Hóa,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
1334,PVL,Đầu tư Nhà Đất Việt,UPCoM,Tài chính,Bất động sản,Bất động sản,Bất động sản
1335,PVM,Thiết bị dầu khí (PV MACHINO),UPCoM,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Nhà cung cấp thiết bị
1336,PVO,Dầu nhờn PV Oil,UPCoM,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
1337,PVR,Đầu tư PVR Hà Nội,UPCoM,Tài chính,Bất động sản,Bất động sản,Bất động sản
1338,PVV,Vinaconex 39,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
1339,PVX,Xây lắp Dầu khí Việt Nam,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
1340,PVY,Chế tạo Giàn khoan Dầu khí,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
1341,PWA,Bất động sản dầu khí,UPCoM,Tài chính,Bất động sản,Bất động sản,Bất động sản
1342,PWS,Cấp thoát nước Phú Yên,UPCoM,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước
1343,PX1,Xi măng Sông Lam 2,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
1344,PXA,Đầu tư và Thương mại Dầu khí Nghệ An,UPCoM,Tài chính,Bất động sản,Bất động sản,Bất động sản
1345,PXC,Phát triển Đô thị Dầu khí,UPCoM,Tài chính,Bất động sản,Bất động sản,Bất động sản
1346,PXI,XL CN và dân dụng Dầu khí,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
1347,PXL,KCN Dầu khí Long Sơn,UPCoM,Tài chính,Bất động sản,Bất động sản,Bất động sản
1348,PXM,Xây lắp Dầu khí Miền Trung,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
1349,PXS,Lắp máy Dầu khí,UPCoM,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
